고유번호,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,경도,위도,데이터기준일자
379297,울산광역시 울주군청,,울산광역시 울주군 범서읍 구영리 397-14,어린이보호,2,200,,30,2020-12,052-204-0030,129.2467079,35.5674944,2020-02-25
379296,울산광역시 울주군청,,울산광역시 울주군 온양읍 대안리 417,어린이보호,1,200,,30,2020-12,052-204-0030,129.2814699,35.4082663,2020-02-25
379295,울산광역시 울주군청,,울산광역시 울주군 온양읍 운화리 47-8,어린이보호,1,200,,30,2020-12,052-204-0030,129.281236,35.4138303,2020-02-25
379294,울산광역시 울주군청,,울산광역시 울주군 언양읍 동부리 375-3,어린이보호,1,200,,30,2020-12,052-204-0030,129.1263079,35.5707965,2020-02-25
379293,울산광역시 울주군청,,울산광역시 울주군 온양읍 대안리 183-3,어린이보호,1,200,,30,2020-12,052-204-0030,129.2875781,35.4096943,2020-02-25
379292,울산광역시 울주군청,,울산광역시 울주군 범서읍 구영리 847-4,어린이보호,1,200,,30,2020-12,052-204-0030,129.2405509,35.5734533,2020-02-25
379291,울산광역시 울주군청,,울산광역시 울주군 범서읍 구영리 716-1,어린이보호,2,200,,30,2020-12,052-204-0030,129.2404012,35.5765757,2020-02-25
379290,울산광역시 울주군청,,울산광역시 울주군 범서읍 천상리 650-6,어린이보호,1,200,,30,2020-12,052-204-0030,129.2232885,35.5615997,2020-02-25
379289,울산광역시 울주군청,,울산광역시 울주군 삼동면 하잠리 892-6,어린이보호,2,200,,30,2020-12,052-204-0030,129.157199130,35.522053831,2020-02-25
379288,울산광역시 울주군청,,울산광역시 울주군 삼남면 신화리 1481-12,어린이보호,3,200,,30,2020-12,052-204-0030,129.109139,35.537618,2020-02-25
379287,울산광역시 울주군청,,울산광역시 울주군 온양읍 대안리 200-3,어린이보호,2,200,,30,2020-12,052-204-0030,129.2879544,35.4066947,2020-02-25
379286,울산광역시 울주군청,,울산광역시 울주군 서생면 신암리 247-8,어린이보호,1,200,,30,2020-07,052-204-0030,129.327059,35.349729,2020-02-25
379285,울산광역시 울주군청,,울산광역시 울주군 서생면 신암리 242-6,어린이보호,2,200,,30,2020-12,052-204-0030,129.326886,35.350526,2020-02-25
379284,울산광역시 울주군청,,울산광역시 울주군 상북면 향산리 347-1,어린이보호,2,200,,30,2020-12,052-204-0030,129.100290863,35.582585488,2020-02-25
379283,울산광역시 울주군청,,울산광역시 울주군 범서읍 척과리 753-5,어린이보호,1,200,,30,2020-12,052-204-0030,129.2749715,35.614986,2020-02-25
379282,울산광역시 울주군청,,울산광역시 울주군 웅촌면 대복리 324-8,어린이보호,3,200,,30,2020-08,052-204-0030,129.212786,35.489659,2020-02-25
379281,울산광역시 울주군청,,울산광역시 울주군 삼동면 하잠리 892-6,어린이보호,1,200,,30,2020-08,052-204-0030,129.157182785,35.522060881,2020-02-25
379280,울산광역시 울주군청,,울산광역시 울주군 삼남면 신화리 1487-19,어린이보호,1,200,,30,2020-08,052-204-0030,129.108489,35.535635,2020-02-25
379279,울산광역시 울주군청,,울산광역시 울주군 온양읍 남창리 166-1,어린이보호,3,200,,30,2020-08,052-204-0030,129.281816,35.417471,2020-02-25
379278,울산광역시 울주군청,,울산광역시 울주군 온양읍 대안리 202-4,어린이보호,3,200,,30,2020-08,052-204-0030,129.287695,35.406488,2020-02-25
379277,울산광역시 울주군청,,울산광역시 울주군 온산읍 덕신리 579-22,어린이보호,3,200,,30,2020-08,052-204-0030,129.305853,35.435358,2020-02-25
379276,울산광역시 울주군청,,울산광역시 울주군 온산읍 덕신리 324-3,어린이보호,3,200,,30,2020-08,052-204-0030,129.315869,35.426474,2020-02-25
379275,울산광역시 울주군청,,울산광역시 울주군 서생면 신암리 242-6,어린이보호,1,200,,30,2020-08,052-204-0030,129.326886,35.350526,2020-02-25
379274,울산광역시 울주군청,,울산광역시 울주군 서생면 서생리 385-7,어린이보호,3,200,,30,2020-08,052-204-0030,129.340671,35.385349,2020-02-25
379273,울산광역시 울주군청,,울산광역시 울주군 상북면 향산리 347-1,어린이보호,1,200,,30,2020-08,052-204-0030,129.100271391,35.582579069,2020-02-25
379272,울산광역시 울주군청,,울산광역시 울주군 언양읍 서부리 395-175,어린이보호,3,200,,30,2020-08,052-204-0030,129.108343,35.569116,2020-02-25
379271,울산광역시 울주군청,,울산광역시 울주군 언양읍 동부리 414-5,어린이보호,3,200,,30,2020-08,052-204-0030,129.125377,35.572363,2020-02-25
379270,울산광역시 울주군청,,울산광역시 울주군 언양읍 동부리 419-1,어린이보호,3,200,,30,2020-08,052-204-0030,129.1243971,35.5739483,2020-02-25
379269,울산광역시 울주군청,,울산광역시 울주군 언양읍 동부리 346-12,어린이보호,3,200,,30,2020-08,052-204-0030,129.1202507,35.5685212,2020-02-25
379268,울산광역시 울주군청,,울산광역시 울주군 언양읍 서부리 355-4,어린이보호,3,200,,30,2020-08,052-204-0030,129.115708,35.565958,2020-02-25
379267,울산광역시 울주군청,,울산광역시 울주군 언양읍 반천리 1023-52,어린이보호,3,200,,30,2020-08,052-204-0030,129.189943,35.559063,2020-02-25
379266,울산광역시 울주군청,,울산광역시 울주군 범서읍 구영리 378-6,어린이보호,3,200,,30,2020-08,052-204-0030,129.2445688,35.568321,2020-02-25
379265,울산광역시 울주군청,,울산광역시 울주군 범서읍 척과리 753-5,어린이보호,1,200,,30,2020-08,052-204-0030,129.2749715,35.614986,2020-02-25
379264,울산광역시 울주군청,,울산광역시 울주군 범서읍 굴화리 58-6,어린이보호,3,200,,30,2020-08,052-204-0030,129.2596763,35.5538119,2020-02-25
379263,울산광역시 울주군청,,울산광역시 울주군 범서읍 굴화리 54-3,어린이보호,3,200,,30,2020-08,052-204-0030,129.2607994,35.5527772,2020-02-25
379262,울산광역시 울주군청,,울산광역시 울주군 범서읍 천상리 629,어린이보호,3,200,,30,2020-08,052-204-0030,129.221649,35.563215,2020-02-25
379261,울산광역시 울주군청,,울산광역시 울주군 범서읍 천상리 425-19,어린이보호,3,200,,30,2020-11,052-204-0030,129.230507,35.565391,2020-02-25
379260,울산광역시 울주군청,,울산광역시 울주군 범서읍 구영리 128-1,어린이보호,3,200,,30,2020-08,052-204-0030,129.2508573,35.567148,2020-02-25
379259,울산광역시 울주군청,,울산광역시 울주군 범서읍 구영리 855-2,어린이보호,3,200,,30,2020-08,052-204-0030,129.2400492,35.572823,2020-02-25
379258,울산광역시 울주군청,,울산광역시 울주군 범서읍 구영리 842-6,어린이보호,3,200,,30,2020-08,052-204-0030,129.239507,35.575404,2020-02-25
379257,울산광역시 울주군청,,울산광역시 울주군 범서읍 구영리 799-31,어린이보호,3,200,,30,2020-06,052-204-0030,129.241797032,35.570662163,2020-02-25
379256,울산광역시 울주군청,,울산광역시 울주군 두동면 구미리 650-3,어린이보호,2,200,,30,2020-06,052-204-0030,129.202007,35.654018,2020-02-25
